"","year","min_region","region","polp","occur.cou","rate"
"1",2014,"강원","강원도",1544442,707,45.8
"2",2014,"경기","경기도",12357830,6083,49.2
"3",2014,"경남","경상남도",3350257,1364,40.7
"4",2014,"경북","경상북도",2700794,1063,39.4
"5",2014,"광주","광주광역시",1475884,1048,71
"6",2014,"대구","대구광역시",2493264,1570,63
"7",2014,"대전","대전광역시",1531809,852,55.6
"8",2014,"부산","부산광역시",3519401,2341,66.5
"9",2014,"서울","서울특별시",10103233,8681,85.9
"10",2014,"세종","세종특별자치시",156125,88,56.4
"11",2014,"울산","울산광역시",1166377,547,46.9
"12",2014,"인천","인천광역시",2902608,1675,57.7
"13",2014,"전남","전라남도",1905780,776,40.7
"14",2014,"전북","전라북도",1871560,888,47.4
"15",2014,"제주","제주특별자치도",607346,366,60.3
"16",2014,"충남","충청남도",2062273,1162,56.3
"17",2014,"충북","충청북도",1578933,652,41.3
"18",2015,"강원","강원도",1549507,709,45.8
"19",2015,"경기","경기도",12522606,6791,54.2
"20",2015,"경남","경상남도",3364702,1461,43.4
"21",2015,"경북","경상북도",2702826,954,35.3
"22",2015,"광주","광주광역시",1472199,1007,68.4
"23",2015,"대구","대구광역시",2487829,1428,57.4
"24",2015,"대전","대전광역시",1518775,887,58.4
"25",2015,"부산","부산광역시",3513777,1902,54.1
"26",2015,"서울","서울특별시",10022181,9665,96.4
"27",2015,"세종","세종특별자치시",210884,67,31.8
"28",2015,"울산","울산광역시",1173534,316,26.9
"29",2015,"인천","인천광역시",2925815,2020,69
"30",2015,"전남","전라남도",1908996,792,41.5
"31",2015,"전북","전라북도",1869711,860,46
"32",2015,"제주","제주특별자치도",624395,440,70.5
"33",2015,"충남","충청남도",2077649,1023,49.2
"34",2015,"충북","충청북도",1583952,741,46.8
"35",2016,"강원","강원도",1550806,741,47.8
"36",2016,"경기","경기도",12716780,6886,54.1
"37",2016,"경남","경상남도",3373871,1406,41.7
"38",2016,"경북","경상북도",2700398,926,34.3
"39",2016,"광주","광주광역시",1469214,874,59.5
"40",2016,"대구","대구광역시",2484557,1202,48.4
"41",2016,"대전","대전광역시",1514370,808,53.4
"42",2016,"부산","부산광역시",3498529,1737,49.6
"43",2016,"서울","서울특별시",9930616,8442,85
"44",2016,"세종","세종특별자치시",243048,70,28.8
"45",2016,"울산","울산광역시",1172304,300,25.6
"46",2016,"인천","인천광역시",2943069,2132,72.4
"47",2016,"전남","전라남도",1903914,808,42.4
"48",2016,"전북","전라북도",1864791,702,37.6
"49",2016,"제주","제주특별자치도",641597,546,85.1
"50",2016,"충남","충청남도",2096727,997,47.6
"51",2016,"충북","충청북도",1591625,780,49
"52",2017,"강원","강원도",1550142,757,48.8
"53",2017,"경기","경기도",12873895,7140,55.5
"54",2017,"경남","경상남도",3380404,1563,46.2
"55",2017,"경북","경상북도",2691706,1069,39.7
"56",2017,"광주","광주광역시",1463770,876,59.8
"57",2017,"대구","대구광역시",2475231,1169,47.2
"58",2017,"대전","대전광역시",1502227,987,65.7
"59",2017,"부산","부산광역시",3470653,2269,65.4
"60",2017,"서울","서울특별시",9857426,10149,103
"61",2017,"세종","세종특별자치시",280100,136,48.6
"62",2017,"울산","울산광역시",1165132,295,25.3
"63",2017,"인천","인천광역시",2948542,2472,83.8
"64",2017,"전남","전라남도",1896424,837,44.1
"65",2017,"전북","전라북도",1854607,739,39.8
"66",2017,"제주","제주특별자치도",657083,469,71.4
"67",2017,"충남","충청남도",2116770,1033,48.8
"68",2017,"충북","충청북도",1594432,864,54.2
"69",2018,"강원","강원도",1543052,852,55.2
"70",2018,"경기","경기도",13077153,7165,54.8
"71",2018,"경남","경상남도",3373988,1544,45.8
"72",2018,"경북","경상북도",2676831,1132,42.3
"73",2018,"광주","광주광역시",1459336,891,61.1
"74",2018,"대구","대구광역시",2461769,1276,51.8
"75",2018,"대전","대전광역시",1489936,1143,76.7
"76",2018,"부산","부산광역시",3441453,2012,58.5
"77",2018,"서울","서울특별시",9765623,9388,96.1
"78",2018,"세종","세종특별자치시",314126,125,39.8
"79",2018,"울산","울산광역시",1155623,306,26.5
"80",2018,"인천","인천광역시",2954642,2154,72.9
"81",2018,"전남","전라남도",1882970,894,47.5
"82",2018,"전북","전라북도",1836832,826,45
"83",2018,"제주","제주특별자치도",667191,493,73.9
"84",2018,"충남","충청남도",2126282,1081,50.8
"85",2018,"충북","충청북도",1599252,822,51.4
"86",2019,"강원","강원도",1541502,852,55.3
"87",2019,"경기","경기도",13239666,7054,53.3
"88",2019,"경남","경상남도",3362553,1596,47.5
"89",2019,"경북","경상북도",2665836,1184,44.4
"90",2019,"광주","광주광역시",1456468,855,58.7
"91",2019,"대구","대구광역시",2438031,1290,52.9
"92",2019,"대전","대전광역시",1474870,1027,69.6
"93",2019,"부산","부산광역시",3413841,2065,60.5
"94",2019,"서울","서울특별시",9729107,9370,96.3
"95",2019,"세종","세종특별자치시",340575,98,28.8
"96",2019,"울산","울산광역시",1148019,335,29.2
"97",2019,"인천","인천광역시",2957026,2093,70.8
"98",2019,"전남","전라남도",1868745,881,47.1
"99",2019,"전북","전라북도",1818917,940,51.7
"100",2019,"제주","제주특별자치도",670989,509,75.9
"101",2019,"충남","충청남도",2123709,1053,49.6
"102",2019,"충북","충청북도",1600007,827,51.7
"103",2020,"강원","강원도",1542840,769,49.8
"104",2020,"경기","경기도",13427014,7179,53.5
"105",2020,"경남","경상남도",3340216,1634,48.9
"106",2020,"경북","경상북도",2639422,1079,40.9
"107",2020,"광주","광주광역시",1450062,790,54.5
"108",2020,"대구","대구광역시",2418346,1099,45.4
"109",2020,"대전","대전광역시",1463882,918,62.7
"110",2020,"부산","부산광역시",3391946,1938,57.1
"111",2020,"서울","서울특별시",9668465,8285,85.7
"112",2020,"세종","세종특별자치시",355831,106,29.8
"113",2020,"울산","울산광역시",1136017,319,28.1
"114",2020,"인천","인천광역시",2942828,1884,64
"115",2020,"전남","전라남도",1851549,875,47.3
"116",2020,"전북","전라북도",1804104,873,48.4
"117",2020,"제주","제주특별자치도",674635,502,74.4
"118",2020,"충남","충청남도",2121029,1044,49.2
"119",2020,"충북","충청북도",1600837,811,50.7
